36,59,67,74,uWu
43,70,76,85,uWu
55,75,80,97,uWu
66,88,85,104,uWu
79,101,98,111,uWu
92,109,105,120,uWu
104,123,119,128,uWu
121,139,135,139,uWu
136,150,153,149,uWu
148,162,164,163,uWu
161,176,177,175,uWu
176,191,192,192,uWu
196,209,214,208,uWu
18,225,230,228,uWu
237,249,249,248,uWu
261,273,266,273,uWu
287,292,284,291,uWu
312,318,307,317,uWu
339,345,333,341,uWu
,366,359,364,uWu
565,580,554,572,uWu
597,612,588,603,uWu
632,648,621,638,uWu
670,686,660,677,uWu
702,719,698,710,uWu
777,792,777,791,uWu
816,828,813,826,uWu
852,871,855,864,uWu
897,914,897,907,uWu
936,954,940,949,uWu
